episode,global_step,episode_reward,running_avg_reward,eval_reward,mean_energy,mean_energy_norm,mean_queue,mean_queue_ratio,mean_throughput_norm,q1_loss,actor_loss,alpha
27,31353,-48.91970221797766,-25.527822055572962,34.86716026824584,8.651163973929183,0.10813954967411465,4.244155844155844,0.015843158547936623,0.0,0.07359307359307365,0.006819474609576981,0.6939215846332782,-54.93994436387796,0.20977274120623707
28,32512,-22.763026756317743,-25.429079366313847,34.86716026824584,7.411450413887192,0.09264313017358983,4.323554788610871,0.01613954965885027,0.0,0.07837215990796668,0.006908667734630584,0.6665426098154957,-54.16735027412145,0.19814926153608448
29,33666,-27.723139020539048,-25.508184871631958,34.86716026824584,7.62990496539071,0.09537381206738385,4.176776429809358,0.015591635563494745,0.0,0.07538994800693245,0.006692758087317574,0.639954905485369,-53.359771047801395,0.1877612896576433
30,34818,-28.448740629440575,-25.60620339689224,-20.733847784640098,7.425567326322847,0.09281959157903565,4.230902777777778,0.015793685710561164,0.0,0.07508680555555555,0.00687935879432118,0.6157136595666715,-52.5260461990269,0.17840491689683574
1,1150,-46.97576911733432,-46.97576911733432,0.0,8.832469183033758,0.11040586478792218,4.430434782608696,0.01653852574565953,0.0,0.07637681159420301,0.007232156106247205,0.0,0.0,0.0
2,2297,16.984475087196685,-14.995647015068819,0.0,5.515629375232484,0.06894536719040617,4.339145597210114,0.01619774913634315,0.0,0.07686718977041565,0.007176217971797618,0.0,0.0,0.0
3,3452,-15.545574833919916,-15.178956288019185,0.0,7.055054909657242,0.0881881863707155,4.286580086580087,0.016001525493846234,0.0,0.0756132756132757,0.00692936187816732,3.3999457895492613,-14.15679023768465,1.1382492546477327
4,4601,-63.96190370957877,-27.374693143409083,0.0,9.779095300273383,0.12223869125341712,4.231505657093124,0.015795936219950783,0.0,0.07774876704380629,0.00681609917512481,1.2851076046383931,-24.79601426283072,0.9650881378614947
5,5759,-66.32314153317711,-35.164382821362686,0.0,9.82957112361583,0.12286963904519765,4.3713298791019,0.016317890973609885,0.0,0.07656879677605068,0.007088708465224824,1.0688115205237831,-33.68571554597305,0.8263014668571776
6,6914,-64.49213914003461,-40.05234220780801,0.0,9.674106813622851,0.1209263351702858,4.259740259740259,0.01590133416071976,0.0,0.0761904761904762,0.006796850760161331,0.9511884102419418,-40.41917258114346,0.7149011686767807
7,8065,-65.01901970532184,-43.61901042173856,0.0,9.592393248982207,0.1199049156122774,4.360556038227628,0.016277672924271125,0.0,0.07515204170286716,0.00707668506092045,0.8569542339172375,-45.38904355752859,0.6247176148065031
8,9256,-68.71301157819006,-46.755760566294995,0.0,9.497612402526055,0.11872015503157562,4.188077246011755,0.015633820777560842,0.0,0.07262804366078923,0.006817073013471326,0.7784206492557528,-49.096316267254444,0.5485078153474768
9,10406,-67.25522202455484,-49.033478506101645,0.0,10.048826525192977,0.1256103315649124,4.327826086956522,0.01615549413859615,0.0,0.07782608695652178,0.007008179997032186,0.7219549600083738,-51.57947930219252,0.487936721921804
10,11557,-63.29538524482696,-50.45966917997417,31.968792092544803,9.822938660489388,0.12278673325611718,4.251954821894005,0.015872271626097428,0.0,0.0786272806255431,0.006937227014348679,0.6732161713293513,-53.25382187039001,0.43746095202596813
11,12749,-64.48499375982965,-51.73469868723376,31.968792092544803,9.601303140556423,0.12001628925695525,4.033557046979865,0.015057006894656015,0.0,0.07676174496644306,0.006610927943972316,0.6280449313796483,-54.327319805591536,0.39372690652578307
12,13940,-70.93498560922218,-53.33472259739946,31.968792092544803,9.668549750284178,0.12085687187855222,4.215785054575987,0.015737252230179008,0.0,0.07206828995242098,0.006788864435484554,0.5876731852674035,-54.87899772302726,0.3569884588084751
13,15132,-66.94257748044681,-54.38148066532619,31.968792092544803,9.420090432189307,0.11775113040236639,4.123322147651007,0.015392094194516209,0.0,0.07410514541387028,0.006664166113108987,0.5494943011064213,-55.03532996394712,0.32582394752937305
14,16324,-67.57010017769339,-55.32352491620956,31.968792092544803,9.581724989851718,0.11977156237314655,4.1619127516778525,0.015536150416886064,0.0,0.07592281879194639,0.006723667596261752,0.5172011408394318,-54.88940267892537,0.2991991790828573
15,17473,-68.76719327003106,-56.21976947313099,31.968792092544803,10.130726112258339,0.12663407640322938,4.219321148825065,0.01575045224070784,0.0,0.07702349869451712,0.006842090020406514,0.48920788592211745,-54.52953335207125,0.27705025464307664
16,18626,-58.98442169628928,-56.39256023707838,31.968792092544803,9.722640340883647,0.1215330042610454,4.21856027753686,0.015747611957528742,0.0,0.0813819022838973,0.006763314428305434,0.4683658747514898,-54.01370058016134,0.25768627526036286
17,19779,-69.92065865447228,-57.18833073221919,31.968792092544803,9.978525595619198,0.12473156994524025,4.305290546400694,0.016071370427050313,0.0,0.07458803122289688,0.0070061332804466,0.4525956205686241,-53.38373979070403,0.2407122890251279
18,20927,-67.4554472494658,-57.75872609428845,31.968792092544803,9.96234947541402,0.12452936844267536,4.300522648083624,0.016053572171813853,0.0,0.07752613240418134,0.006968362399067666,0.43608970415189574,-52.66956905963124,0.22580255384544792
19,22121,-66.24913325999945,-58.20558962932588,31.968792092544803,9.279218162141676,0.11599022702677081,4.233668341708543,0.01580400938137783,0.0,0.07384142936906767,0.006899989852562004,0.421688447534865,-51.85964616297142,0.21207153715341137
20,23314,-63.38511791826225,-58.4645660437727,-46.293353229973526,9.245631339644026,0.11557039174555,4.152556580050294,0.015501224434914558,0.0,0.07571947471360725,0.006811902623094325,0.4069010372455854,-51.0012197776437,0.19988134118558487
21,24464,-57.75816815597888,-58.43092804911585,-46.293353229973526,9.279100517019216,0.11598875646274026,4.2382608695652175,0.015821152990057794,0.0,0.07579710144927547,0.006845878468615508,0.3916581956871442,-50.141605523705564,0.1893596140326333
22,25613,-63.60391030936747,-58.66606360640001,-46.293353229973526,9.401578686923333,0.11751973358654158,4.16710182767624,0.015555520901095127,0.0,0.07470263997679145,0.0068290945977656625,0.37696337894028925,-49.261963832725776,0.1798758612549038
23,26761,-70.40438803701595,-59.176425538165915,-46.293353229973526,10.001420973438638,0.125017762167983,4.2665505226480835,0.01592675643053354,0.0,0.0749128919860629,0.0069098320569383025,0.36408081239967466,-48.36856815245515,0.17128828104091215
24,27919,-62.50144907036579,-59.314968185340916,-46.293353229973526,9.552735957184131,0.11940919946480161,4.182210708117443,0.015611921372025363,0.0,0.07714450201496847,0.006801807576909679,0.3515863625586846,-47.46043679808202,0.1634130472305192
